d27407,133.79461872586654970350,2,3514099,2120090,3514198,2120180
8a5a58,8860.91338407051578600528,1,1637635,7633919,1641270,7625838
988a7f,229.71286424577967026607,2,3713228,2074028,3713456,2074056
47b587,9699.66272609517077944586,1,1642454,5858136,1651055,5862620
5f11e5,129.75746606650424259817,2,2801129,6260986,2801258,6260972
367fae,689.94202655005732010404,3,3221138,3529676,3221276,3530352
19138b,9889.04252190271452065612,1,3063889,3765971,3073778,3765942
fb83a4,8868.62385040655560669847,1,3268620,2047343,3275400,2053060
3d371e,394.25499362722090954799,3,2785346,6264811,2785692,6264622
66a648,8103.74382615837628749685,1,3264320,1641800,3271778,1644970
394be2,793.15698320067761980463,3,3262441,2147331,3263174,2147634
