b0ff79,3136491,3073211
a6c247,2858179,3157115
687374,4508500,4707925
991f09,2982065,4274721
4820ef,3136720,4107050
98c51a,2970183,3685049
efc375,3922050,3514058
80cfb6,2703930,3471179
e77e2d,4820055,4271030
2ee9e2,3294864,3286112
d7e414,4527638,4197463
954f43,3450246,4970090
ae9a28,3834048,3666085
2f6143,2847460,3095765
270ff8,3327549,4243724
6cc9c7,2993519,3728114
6dcf93,3299617,3642638
fe7b3f,2764872,4169091
e04b65,4464386,2957038
2f9215,3424103,4392085
51ca4d,4289151,3067036
b92f3b,4029215,3174119
b93fe1,3997222,4275112
