d42110,0,Unknown,5273233,4413621,5273233,4413621
502197,0,Unknown,6804391,5151964,6804391,5151964
162a1d,0,Unknown,4233208,5208730,4233208,5208730
5c62d6,0,Unknown,4215052,7801670,4215052,7801670
685752,9173.84897412203968750364,1,4590391,5949932,4585782,5957864
501cff,8037.87689629543903479513,1,6643957,4380204,6645914,4372408
f13097,155.54099138169333399164,2,6343152,6119967,6343304,6119934
96bbcb,9010.36292276842753367895,1,596256,816348,604200,820600
bd5f77,8066.76155591573191257922,1,6799178,5244498,6791319,5242679
553ba1,120.00000000000000000000,2,3682060,4154000,3682180,4154000
5e7c38,0,Unknown,2858759,3398488,2858759,3398488
74699b,0,Unknown,2983176,3128925,2983176,3128925
7184d1,9560.60379892399892143016,1,5981468,4873261,5971936,4872522
524e9d,230.38446128157167883105,2,5768174,6291849,5768348,6291698
fc1578,9197.67976176600747387193,1,3778408,5243457,3781816,5234914
