d286f4,5234061,5165198
7e847e,5205086,5813839
5a5eaa,5339035,4843057
9bc05e,4958166,5962984
59d67d,3985728,4575860
11e898,3857561,4211657
a3d3ce,6513808,4072077
2cd11d,4065064,4672966
408dc7,4970062,4800763
03aada,4258099,5035998
fb83a4,2061780,1029717
4da614,3456387,5323249
b1b656,4129615,4418066
faaf44,3661539,4689986
d331e5,4074440,6276887
1a0543,6873820,4001120
6cab10,4078089,6908980
9f0f41,5040795,5765597
daaf59,6787935,5086944
45a276,2859043,2282030
beaa53,6181100,5578967
efcc5e,5558138,4263136
dcce6b,6510502,5712320
ba4a88,2127516,116028
fcd162,5739037,6398942
b77c92,4764107,6395852
66a648,2973458,1518170
47b9ca,6490200,5943860
b7f1df,4839629,6845538
5a2d59,6241756,4000144
782ed7,3399068,5815961
71ced9,4706340,5148953
7d133d,6732934,4668931
18d19e,4970121,5763899
08df9c,3509151,5331926
abb741,3356044,4138036
